item_id,old_item_id
0,M45YhwzKADv7zkxW
1,TN3i0tNvCfeSpteo
2,COMGz452z4yxC8Sx
3,YuThBOVvNeymSXH4
4,X4ws3hW4yKZyFPi6
5,DeXJFibOUhHGcEOe
6,ItcHBWbkwi2pGYHl
7,C8VkfOe4iN5bik47
8,lsVwPkkwai5dDVSa
9,3ysnjXrrWp0Qhqrz
10,e9WvSVLSrpcGUMwt
11,9lzeAMDbnD2yfNSa
12,lZ1Wd279ZRy6WQxx
13,itO50SbHqR6xiK3t
14,aBFJ7glwO0N4BsZA
15,fXmHcHYZm4Rdo3qO
16,L9fJOq7sVhZihyJJ
17,KR5mcJYhwjredE1R
18,U5KoASP6wwYD7Soc
19,zTyH0fZwZ8ytmKuF
20,jxYmnXCxlmIdiZhh
21,KwA8khjFWlElYAMl
22,cCTOkAC3enFtOUMh
23,PYDbjL3BFDmDnM2D
24,cgkaSWJm99JBEoCj
25,noBFhEVAdKUVPoB6
26,dKZS5hhjbx9OA0gI
27,8l0vVq8bCkUOK6uC
28,seXdZTSH1rzfo4se
29,iSlsBlqEhokhMng1
30,7W5L6xjslpNAcYLj
31,ADP4XYcUv1HRUFLh
32,ggqXwlrKr9xZL0fW
33,T9rw5U0RMfKrcWMU
34,RXoWo0EC6cIxdsUw
35,ixhYIiyMqEdzsD23
36,oK0M8BwORMOWOGUF
37,Z8lPhlicCDL93Ark
38,crCZy21TXQWbFkGy
39,TCFJufRj76rD9AjN
40,CAcfgsvOODhPqShX
41,J2RqwsINijzbZ8Et
42,XfIpNPcnw1KPLJJE
43,8FRtvOKGmvhiSygs
44,LUjNA51cRcX3Phgi
45,6q72beEtWF7Ax0Cy
46,DPfd4gYgzo8PPdNI
47,ZK6GKzBLPxWv4axy
48,ydMbTQcsZQ4z5rli
49,xP4yBFzU6zxzoXNp
50,8raUZyJEMPESv1U0
51,nRJQ8ZMH1468dgAI
52,oMUbiTrHzJz4JxgO
53,0AliCdn6erZdBf2S
54,SiqwZqZnpzOfOSep
55,djMUXGe9KuCx5csK
56,qcYUcxSZmBN1igkD
57,DDWsvUWLCl8gpWpA
58,zyz0UbYN4n9rHXex
59,jx9wXkkgrYR3RkSe
60,OYlJem4M8ZOuxDlP
61,OUkZI66QebyJvgIS
62,cTr6UcEgk4Yp9R4q
63,y31mLN3QdeOINHrX
64,91h2Dqs0ti7O3IBM
65,owPjxatK3F2kLYTx
66,2l5Bdm4xu8Uw3Qyd
67,6vlbnpuU5Ngei0E7
68,ye6SUPDliXCR2kMs
69,iCfkc9SQZ1HftpxS
70,Fmc8wMGETqFNJnop
71,CryKyU5DP6l9DNB3
72,P5QZ6aObvNwObwGx
73,Z7QnpPTgYsc4TVLA
74,XovGsNryRMzXh5UI
75,8FHwpt0OUXz7foT7
76,U7vZRy9ULsBz4WKH
77,0RKIUAOJaWQNCWyz
78,V7T0jaqZH8XQ8Jy2
79,DmJbJy5KQxOCjqzK
80,9EOUvfzk6eOb8KBd
81,N5LgLFXjeWGe6bwz
82,NCS5Uhityjy77E7a
83,lzcGLtFrXW6M9Gd4
84,TYoYVKiQpzhvcatl
85,Cl7k1xDo7R5M02vn
86,dhCyiNxHQzuKQRIA
87,vpLmGxZNk7APAyrK
88,vjwHhLg2PrafejVK
89,iWGgBAoscuNJd8tI
90,RH4mqGuVYMUH7K3c
91,Gv3BIuBV7G8Tt2Hv
92,5mtl4w8NUMRmKTif
93,5JaBO2JoOR7Is2qC
94,pOZmyYM5UtQFCWJN
95,nGMeIfY4hqVArYPZ
96,SezvoI7y9p6mDvB3
97,FQWAMKhKgutuKwDN
98,qKTDiPxNlyKR5VmV
99,ev1Iei16k8GfsTyZ
100,xE6axyRbxW825J3E
101,wRitMHR0q4OIPDKI
102,CGNhtZMctV4KfLwO
103,XTc37KUdXzBsDGhP
104,1E0rVIvfs9Ii5YEO
105,6dMgaMF9VT5SjaiY
106,T49WRKbudKPr0STZ
107,kDAbXpp8gZuDSsTe
108,lTXfao6t84x9UZqa
109,4oL0qcGrHnxJkf7U
110,tNrQZbEXdiPLqsEE
111,FBp7qjAkgBSXK9nh
112,A8JcVL43n9NCQVGp
113,Lg06JaIOMHlwFhrG
114,S0rYGG3qtB5IlGGo
115,VZ0m0MlmdOoqcRL6
116,VAfPQbtXvfEQaFr0
117,EdgX65iMI6WItzQq
118,sCwoW8T7fM3YWLSp
119,AkGyrviNXUf9Hh2h
120,dkm5ZtGgpHgyOct2
121,NPhzwBiHj6ywmydu
122,w3EGmEFvRAPcVYfy
123,d4GPdpE9JxqlzhUd
124,TYNIw8nUu8gFZ94j
125,IvFtcAajHxKWNl7x
126,fPJqrZzMYYnUOgpb
127,lKi2TsYTx04mfMZe
128,g6pL8zWiY2C6xY6p
129,oZw4lwdsbhOwaxFx
130,3AukcIt4tYzkzACJ
131,BUao0iyZWH60LSfo
132,TcUb75QrVdYnF7Jo
133,2iaY3BjDPxSGb6te
134,xhuHfnxTjRkCGvw2
135,S7RFdCOEy8yX1StR
136,cJDYd61ccx6tgedT
137,xdVOuwpAMRTMSx7C
138,zNNib1kPJgnwHpgu
139,C8yCJGkFox1OPXb9
140,974VVjukjjIYWw7z
141,qVV4FFDQZfkV1LBT
142,QPILZ2MQNEan2OjM
143,as1XGCjlvfvBlkPp
144,WM62AG40waeygcAw
145,s3Q02ICm2s8aF44b
146,inra0VSBaeGXMSuQ
147,80LS3ppeVurlHCgr
148,PqjX8Jm9lA7ogAe4
149,7ge73nWDDxKUUI7e
150,LQqJ4Htn4Z6r7Iru
151,4S2N0UNI4K33uo3e
152,3Q69e1FsZRSWaJod
153,QPtUiyuODD03lI3y
154,63EHEFeQvEOlUrWE
155,Vd9RjStAUOa8FORV
156,iizCPbXKG3oNqkAW
157,3ddGJ4TmenmyC5Fj
158,ZmHLTT4SmV21FLGq
159,zxqKvtGMOMGE2ZeX
160,gDWf6aeMx5gnsEmW
161,O3fF3fvCx06bwv0W
162,TlDpRXqH3vXZvU1s
163,1kuk1fAPcHoMMuLm
