item_id,old_item_id,release,song,artist,genre,count
0,M45YhwzKADv7zkxW,1999,Juicy Fruit,Mtume,funk,31
1,TN3i0tNvCfeSpteo,2001,Fat Lip,Sum 41,pop punk,263
2,COMGz452z4yxC8Sx,2018,Jumpsuit,Twenty One Pilots,alternative rock,110
3,YuThBOVvNeymSXH4,2018,Gonna Love Me,Teyana Taylor,neo soul,53
4,X4ws3hW4yKZyFPi6,2012,Million Dollar Man,Lana Del Rey,indie pop,105
5,DeXJFibOUhHGcEOe,2016,No Option,Post Malone,rap,37
6,ItcHBWbkwi2pGYHl,2005,Lost to Apathy,Dark Tranquillity,gothenburg metal,62
7,C8VkfOe4iN5bik47,2018,Eon,Celldweller,industrial metal,12
8,lsVwPkkwai5dDVSa,1957,Summertime,Charlie Parker,blues,37
9,3ysnjXrrWp0Qhqrz,2013,Right Action,Franz Ferdinand,indie rock,81
10,e9WvSVLSrpcGUMwt,2016,Silvera,Gojira,progressive metal,238
11,9lzeAMDbnD2yfNSa,1979,Dreaming,Blondie,new wave,49
12,lZ1Wd279ZRy6WQxx,2011,Black Flies,Ben Howard,folk,34
13,itO50SbHqR6xiK3t,1994,Sabotage,Beastie Boys,hip hop,298
14,aBFJ7glwO0N4BsZA,1996,Be My Druidess,Type O Negative,gothic rock,52
15,fXmHcHYZm4Rdo3qO,1990,Cradle Of Love,Billy Idol,new wave,19
16,L9fJOq7sVhZihyJJ,1985,Oh Sheila,Ready For The World,soul,15
17,KR5mcJYhwjredE1R,2001,Aerials,System of a Down,alternative metal,456
18,U5KoASP6wwYD7Soc,2016,Reverend,Kings of Leon,southern rock,59
19,zTyH0fZwZ8ytmKuF,1967,I Never Loved a Man (the Way I Love You),Aretha Franklin,rhythm and blues,192
20,jxYmnXCxlmIdiZhh,2011,Judas,Lady Gaga,pop,155
21,KwA8khjFWlElYAMl,2019,Katarsis,She Past Away,post-punk,34
22,cCTOkAC3enFtOUMh,2013,Angus McFife,Gloryhammer,power metal,60
23,PYDbjL3BFDmDnM2D,1992,Walk,Pantera,groove metal,328
24,cgkaSWJm99JBEoCj,2014,Boss Mode,Knife Party,dubstep,23
25,noBFhEVAdKUVPoB6,2004,The Perfect Design,The Dillinger Escape Plan,mathcore,17
26,dKZS5hhjbx9OA0gI,1998,You Get What You Give,New Radicals,alternative rock,206
